Method,Dataset,EdgesModified,GapAfter,NMISpectral,NMIMod,ModSpectral,ModMod
Max,Cora,10,0.007307082537308174,0.3413461980432701,0.485039301338041,0.5406440804203226,0.7989083040325775
Max,Cora,50,0.007523990371264553,0.3231235062035501,0.493745863121334,0.5097200274343031,0.797035342208871
Max,Cora,100,0.007527048085976506,0.3483804591253944,0.49458438393848836,0.6173841512284597,0.7948313554907807
Max,Cora,500,0.007534444539128561,0.21339765140311895,0.4400111263240528,0.2340488569494544,0.7883116931641435
Min,Cora,10,0.003917589287761105,0.3509644266363825,0.4857803418370814,0.5449636374200133,0.8006956537096301
Min,Cora,100,9.815731082663796e-05,0.2644823129592267,0.4649944633700657,0.41312002801349046,0.8069357851239572
Min,Cora,500,6.309073006106102e-06,0.15470915630727694,0.43250528227205015,0.30310974052634543,0.8348604153879705
