Method,Dataset,EdgesModified,GapAfter,NMISpectral,NMIMod
Min,Cora,500,6.309073006106102e-06,0.15470915630727694,0.43250528227205015
Min,Cora,100,9.815731082663796e-05,0.2618679066675943,0.4649944633700657
Min,Cora,10,0.003917589287761105,0.3522928830174217,0.4857803418370814
Max,Cora,500,0.007534444539128561,0.21154423024887567,0.4400111263240528
Max,Cora,100,0.007527048085976506,0.34838045912539434,0.49458438393848836
Max,Cora,10,0.007307082537308174,0.34166082417909793,0.485039301338041
