Method,Dataset,EdgesModified,GapBefore,GapAfter,BeforeNodeLI,BeforeAdjHomophily,AfterNodeLI,AfterAdjHomophily,TrainingLoss,NMI,TestAcc
Max,Cora,10,0.004784323990926318,0.007307082537308151,0.5962704591588207,0.7637005121252423,0.5963349756129404,0.7633405363999837,"tensor(0.3681, grad_fn=<NllLossBackward0>)",0.7106361730579456,87.32394366197182
Min,Cora,10,0.004784323990926318,0.003917589287761105,0.5962704591588207,0.7637005121252423,0.59637768576296,0.7635740135818516,"tensor(0.3632, grad_fn=<NllLossBackward0>)",0.7368831988365759,88.93360160965796
