Method,Dataset,EdgesModified,GapAfter,NMI
Max,Cornell,2,0.08301050683065891,0.0939692534879918
Max,Cornell,10,0.05565883366561044,0.0815067856513956
Max,Cornell,50,0.041638167529726496,0.09337689814936384
